variable_name,question_label,n_valid,pct_missing,weighted_variance,modal_share_pct,partyID_r2,ideology_r2,r2_difference,redundant_with,recommended_action,reason,recommended_action,v3_drop_reason
CC24_321d,Support increase police by 10%,59998,0,0.245,57.1,0.1371,0.1827,0.0456,CC24_321e,KEEP,Meets inclusion criteria; r>0.70 with CC24_321e,KEEP,
CC24_321e,Oppose decrease police by 10% [rev],59991,0,0.1953,73.4,0.1064,0.159,0.0526,CC24_321d,KEEP,Meets inclusion criteria,KEEP,
CC24_323a,Oppose grant legal status to working immigrants [rev],59998,0,0.242,59,0.2136,0.2066,-0.007,CC24_341b; CC24_323d; CC24_324d; CC24_340f; CC24_312a; CC24_312i,KEEP,Meets inclusion criteria; r>0.70 with CC24_323d,KEEP,
CC24_323b,Support increase border patrols,59999,0,0.1642,79.3,0.0862,0.1379,0.0517,,KEEP,Meets inclusion criteria,KEEP,
CC24_323d,Oppose Dreamers pathway to citizenship [rev],59991,0,0.2074,70.6,0.1854,0.1833,-0.0021,CC24_323a; CC24_340f; CC24_312a; CC24_312i,KEEP,Meets inclusion criteria,KEEP,
CC24_324b,Support permit abortion only rape/incest/life danger,59969,0.1,0.2496,52,0.0963,0.1088,0.0125,,KEEP,Meets inclusion criteria,KEEP,
CC24_324c,Support make abortion illegal ALL circumstances [FLAG:floor],59964,0.1,0.1106,87.3,0.0322,0.0574,0.0252,,DROP,floor_effect: 89% Oppose; not explicitly kept by user,DROP,
CC24_324d,Oppose expand abortion access [rev],59964,0.1,0.2412,59.4,0.3183,0.3248,0.0065,CC24_330a; CC24_341b; CC24_341c; CC24_323a; CC24_325; CC24_340c; CC24_440a; CC24_312a; CC24_312c; CC24_312i,DROP,Meets inclusion criteria; r>0.70 with CC24_330a,DROP,
CC24_325,Abortion weeks limit reversed (40-weeks; high=restrictive),57958,3.4,149.9186,11.2,0.2353,0.2996,0.0643,CC24_324d,KEEP,Meets inclusion criteria,KEEP,
CC24_330a,Ideology self-placement (VL=1 to VC=7),56924,5.1,3.5027,26.1,0.5682,0.8187,0.2505,CC24_341b; CC24_324d; CC24_340f; CC24_440a; CC24_441b; CC24_312a; CC24_312i,DROP,Partisan proxy: ideology self-placement (PID R²=0.568); will dominate Factor 1 and suppress cross-cutting structure,DROP,Partisan proxy: ideology self-placement (PID R²=0.568); will dominate Factor 1 and suppress cross-cutting structure
CC24_340a,Oppose prohibit contraceptive restrictions [rev],59846,0.3,0.2058,71,0.0278,0.0459,0.0181,,KEEP,Meets inclusion criteria,KEEP,
CC24_340b,Oppose prohibit abortion service restrictions [rev],59791,0.3,0.2352,62.2,0.1055,0.1288,0.0234,,KEEP,Meets inclusion criteria,KEEP,
CC24_340c,Oppose require same-sex marriage recognition [rev],59688,0.5,0.2305,64,0.193,0.2368,0.0438,CC24_324d; CC24_312i,KEEP,Meets inclusion criteria,KEEP,
CC24_340e,Support renew post-9/11 surveillance programs,59776,0.4,0.2266,65.3,0.0002,0.0006,0.0004,,KEEP,Meets inclusion criteria,KEEP,
CC24_340f,Support deny asylum at border,59812,0.3,0.2325,63.2,0.2152,0.2458,0.0306,CC24_330a; CC24_323a; CC24_323d; CC24_440a; CC24_441a; CC24_441b; CC24_312i,KEEP,Meets inclusion criteria; r>0.70 with CC24_323a,KEEP,
CC24_341a,Support extend 2017 tax cuts,59546,0.8,0.2337,62.8,0.1445,0.1537,0.0092,CC24_341b; CC24_312c,KEEP,Meets inclusion criteria,KEEP,
CC24_341b,Oppose raise corporate tax to 28% [rev],59816,0.3,0.2455,56.7,0.2199,0.2188,-0.0012,CC24_330a; CC24_341a; CC24_341c; CC24_323a; CC24_324d; CC24_440a; CC24_312a; CC24_312c; CC24_312i,DROP,Meets inclusion criteria; r>0.70 with CC24_341a,DROP,
CC24_341c,Oppose allow $400k+ tax rates to rise [rev],59788,0.4,0.2288,64.6,0.1702,0.1775,0.0073,CC24_341b; CC24_324d; CC24_312a; CC24_312i,KEEP,Meets inclusion criteria,KEEP,
CC24_341d,Oppose $150B infrastructure spending [rev],59737,0.4,0.1619,79.7,0.0588,0.0581,-0.0006,,KEEP,Meets inclusion criteria,KEEP,
CC24_420_1,Mil. intervention: ensure oil supply [binary; r_pid=+0.145],49432,17.6,0.1609,79.9,0.0408,0.0394,-0.0014,CC24_420_7,DROP,Compositional/multi-select data; mutually exclusive checkboxes create structural correlations invalid for EFA,DROP,Compositional/multi-select data; mutually exclusive checkboxes create structural correlations invalid for EFA
CC24_420_2,Mil. intervention: destroy terrorist camp [binary; r_pid=+0.140],49432,17.6,0.2474,55.1,0.0282,0.0374,0.0092,CC24_420_7,DROP,Compositional/multi-select data; mutually exclusive checkboxes create structural correlations invalid for EFA,DROP,Compositional/multi-select data; mutually exclusive checkboxes create structural correlations invalid for EFA
CC24_420_3,Mil. intervention: genocide/civil war [binary; r_pid=-0.052],49432,17.6,0.2305,64,0.0328,0.0412,0.0084,CC24_420_7,DROP,Compositional/multi-select data; mutually exclusive checkboxes create structural correlations invalid for EFA,DROP,Compositional/multi-select data; mutually exclusive checkboxes create structural correlations invalid for EFA
CC24_420_4,Mil. intervention: spread democracy [binary; r_pid=-0.037],49432,17.6,0.1395,83.2,0.013,0.0041,-0.0088,CC24_420_7,DROP,Compositional/multi-select data; mutually exclusive checkboxes create structural correlations invalid for EFA,DROP,Compositional/multi-select data; mutually exclusive checkboxes create structural correlations invalid for EFA
CC24_420_5,Mil. intervention: protect allies [binary; r_pid=+0.053],49432,17.6,0.2174,68.1,0.0014,0.0008,-0.0006,CC24_420_7,DROP,Compositional/multi-select data; mutually exclusive checkboxes create structural correlations invalid for EFA,DROP,Compositional/multi-select data; mutually exclusive checkboxes create structural correlations invalid for EFA
CC24_420_6,Mil. intervention: UN/intl law [binary; r_pid=-0.110],49432,17.6,0.2448,57.2,0.0958,0.1054,0.0096,CC24_420_7,DROP,Compositional/multi-select data; mutually exclusive checkboxes create structural correlations invalid for EFA,DROP,Compositional/multi-select data; mutually exclusive checkboxes create structural correlations invalid for EFA
CC24_420_7,Mil. intervention: NONE/isolationist [binary; FLAG:exclusive-none],49432,17.6,0.1157,86.6,0.0002,0.0004,0.0003,CC24_420_1; CC24_420_2; CC24_420_3; CC24_420_4; CC24_420_5; CC24_420_6,DROP,Compositional/multi-select data; mutually exclusive exclusive-none creates near-perfect artificial negative correlations,DROP,Compositional/multi-select data; mutually exclusive exclusive-none creates near-perfect artificial negative correlations
CC24_421_1,Distrust federal elections (rev: high=distrust) [5-pt],49429,17.6,1.3189,38.1,0.0182,0.0118,-0.0064,CC24_421_2,KEEP,Meets inclusion criteria,KEEP,
CC24_421_2,Distrust state elections (rev: high=distrust) [5-pt; highly skewed],49430,17.6,1.081,45.8,0.012,0.0127,0.0006,CC24_421_1,REVIEW,skewed: ~78% Strongly/Somewhat agree (state election trust very high); low variance may suppress communality,REVIEW,
CC24_423,Low trust in federal government (high=less trust) [4-pt],49347,17.8,0.6182,47.2,0.0265,0.0154,-0.0111,,KEEP,Meets inclusion criteria,KEEP,
CC24_424,Low trust in state government (high=less trust) [4-pt],49340,17.8,0.771,42.5,0.0072,0.0032,-0.0039,CC24_312d,KEEP,Meets inclusion criteria; r>0.70 with CC24_312d,KEEP,
CC24_440a,Disagree: white people have advantages (high=conservative),49270,17.9,2.1805,27.3,0.3676,0.3503,-0.0173,CC24_330a; CC24_341b; CC24_324d; CC24_340f; CC24_440b; CC24_441a; CC24_441b; CC24_312a; CC24_312i,DROP,Meets inclusion criteria; r>0.70 with CC24_440b,DROP,
CC24_440b,Agree: racial problems are rare/isolated,48836,18.6,1.7286,28.1,0.2411,0.2463,0.0052,CC24_440a,KEEP,Meets inclusion criteria,KEEP,
CC24_440c,Agree: women seek to gain power over men,49253,17.9,1.6268,33.1,0.1643,0.1802,0.0159,CC24_440d,KEEP,Meets inclusion criteria,KEEP,
CC24_440d,Agree: women are too easily offended,49267,17.9,1.8476,25.5,0.2514,0.2642,0.0127,CC24_440c,DROP,Meets inclusion criteria; r>0.70 with CC24_440c,DROP,
CC24_441a,Agree: Blacks should work up like other minorities [FLAG:collin],49430,17.6,2.0993,28.6,0.3275,0.355,0.0276,CC24_340f; CC24_440a; CC24_441b; CC24_312i,DROP,flag_collinearity: user requests collinearity check vs Factor 1,DROP,
CC24_441b,Disagree: slavery created conditions (high=conservative) [FLAG:collin],49428,17.6,2.2503,24.1,0.3507,0.359,0.0084,CC24_330a; CC24_340f; CC24_440a; CC24_441a; CC24_312a; CC24_312i,DROP,flag_collinearity: user requests collinearity check vs Factor 1,DROP,
pew_bornagain,Born-again/evangelical identity (binary),59970,0,0.221,67,0.0775,0.1207,0.0431,pew_religimp,DROP,Meets inclusion criteria; r>0.70 with pew_religimp,DROP,
pew_churatd,Church attendance frequency,59008,1.7,2.9575,34.1,0.0598,0.1086,0.0488,pew_religimp; pew_prayer,KEEP,Meets inclusion criteria; r>0.70 with pew_prayer,KEEP,
pew_prayer,Prayer frequency,58480,2.5,5.7847,28.3,0.0859,0.1569,0.071,pew_churatd; pew_religimp,DROP,Meets inclusion criteria,DROP,
pew_religimp,Importance of religion in life,59989,0,1.411,37.5,0.1105,0.1874,0.0769,pew_churatd; pew_prayer; pew_bornagain,DROP,Meets inclusion criteria; r>0.70 with pew_churatd,DROP,
